timestampThrottle,Steer,QuickTurn,Incrementer,Mag1,Mag2
94301.387,-0.00,0.00,false,384,true,true
94320.734,-0.00,0.00,false,385,true,true
94340.802,-0.00,0.00,false,386,true,true
94361.879,-0.00,0.00,false,387,true,true
94381.66200000001,-0.00,0.00,false,388,true,true
94401.033,-0.00,0.00,false,389,true,true
94420.497,-0.00,0.00,false,390,true,true
94440.67099999999,-0.00,0.00,false,391,true,true
94461.55,-0.00,0.00,false,392,true,true
94480.675,-0.00,0.00,false,393,true,true
94501.374,-0.00,0.00,false,394,true,true
94521.147,-0.00,0.00,false,395,true,true
94540.19200000001,-0.00,0.00,false,396,true,true
94560.766,-0.00,0.00,false,397,true,true
94581.814,-0.00,0.00,false,398,true,true
94601.888,-0.00,0.00,false,399,true,true
94621.48700000001,-0.00,0.00,false,400,true,true
94640.616,-0.00,0.00,false,401,true,true
94661.54299999999,-0.00,0.00,false,402,true,true
94681.239,-0.00,0.00,false,403,true,true
94700.742,-0.00,0.00,false,404,true,true
94720.92000000001,-0.00,0.00,false,405,true,true
94741.63,-0.00,0.00,false,406,true,true
94761.465,-0.00,0.00,false,407,true,true
94781.361,-0.00,0.00,false,408,true,true
94800.957,-0.00,0.00,false,409,true,true
94821.91799999999,-0.00,0.00,false,410,true,true
94841.685,-0.00,0.00,false,411,true,true
94861.39199999999,-0.00,0.00,false,412,true,true
94880.693,-0.00,0.00,false,413,true,true
94901.27699999999,-0.00,0.00,false,414,true,true
94920.686,-0.00,0.00,false,415,true,true
94941.178,-0.00,0.00,false,416,true,true
94960.578,-0.00,0.00,false,417,true,true
94981.28300000001,-0.00,0.00,false,418,true,true
95001.265,-0.00,0.00,false,419,true,true
95021.405,-0.00,0.00,false,420,true,true
95041.45,-0.00,0.00,false,421,true,true
95060.883,-0.00,0.00,false,422,true,true
95081.40699999999,-0.00,0.00,false,423,true,true
95100.936,-0.00,0.00,false,424,true,true
95121.244,-0.00,0.00,false,425,true,true
95140.626,-0.00,0.00,false,426,true,true
95161.432,-0.00,0.00,false,427,true,true
95180.852,-0.00,0.00,false,428,true,true
95201.194,-0.00,0.00,false,429,true,true
95221.258,-0.00,0.00,false,430,true,true
95240.57500000001,-0.00,0.00,false,431,true,true
95260.94,-0.00,0.00,false,432,true,true
95281.53199999999,-0.00,0.00,false,433,true,true
95300.59,-0.00,0.00,false,434,true,true
95321.603,-0.00,0.00,false,435,true,true
95341.564,-0.00,0.00,false,436,true,true
95361.247,-0.00,0.00,false,437,true,true
95380.313,-0.00,0.00,false,438,true,true
95401.122,-0.00,0.00,false,439,true,true
95420.48599999999,-0.00,0.00,false,440,true,true
95441.079,-0.00,0.00,false,441,true,true
95461.185,-0.00,0.00,false,442,true,true
95480.758,-0.00,0.00,false,443,true,true
95501.19499999999,-0.00,0.00,false,444,true,true
95520.414,-0.00,0.00,false,445,true,true
95540.8,-0.00,0.00,false,446,true,true
95561.13,-0.00,0.00,false,447,true,true
95580.869,-0.00,0.00,false,448,true,true
95601.271,-0.00,0.00,false,449,true,true
95620.754,-0.00,0.00,false,450,true,true
95640.79599999999,-0.00,0.00,false,451,true,true
95660.96299999999,-0.00,0.00,false,452,true,true
95682.08799999999,-0.00,0.00,false,453,true,true
95701.00600000001,-0.00,0.00,false,454,true,true
95721.558,-0.00,0.00,false,455,true,true
95740.695,-0.00,0.00,false,456,true,true
95760.911,-0.00,0.00,false,457,true,true
95780.988,-0.00,0.00,false,458,true,true
95801.365,-0.00,0.00,false,459,true,true
